Week,ID,Jar,Status,Status,Hatched
1,I33,1I33,2,in,0
1,I33,1I33,2,in,0
1,I34,1I34,2,in,0
1,I34,1I34,2,in,0
1,I34,1I34,2,in,0
1,I34,1I34,2,in,0
1,I34,1I34,2,in,0
1,I34,1I34,2,in,0
1,I34,1I34,2,in,0
1,I34,1I34,2,in,0
1,I34,1I34,2,in,0
1,I34,1I34,2,in,0
1,I35,1I35,2,in,1
1,I35,1I35,2,in,1
1,I35,1I35,2,in,1
1,I35,1I35,2,in,1
1,I35,1I35,2,in,1
1,I35,1I35,2,in,1
1,I35,1I35,2,in,1
1,I35,1I35,2,in,1
1,I35,1I35,2,in,1
1,I36,1I36,2,in,1
1,I36,1I36,2,in,1
1,I36,1I36,2,in,1
1,I36,1I36,2,in,1
1,I36,1I36,2,in,1
1,I36,1I36,2,in,1
1,I36,1I36,2,in,1
1,I36,1I36,2,in,1
1,I36,1I36,2,in,1
1,I36,1I36,2,in,0
1,I37,1I37,2,in,1
1,I37,1I37,2,in,1
1,I37,1I37,2,in,1
1,I37,1I37,2,in,1
1,I37,1I37,2,in,1
1,I37,1I37,2,in,1
1,I37,1I37,2,in,1
1,I37,1I37,2,in,1
1,I39,1I39,2,in,1
1,I39,1I39,2,in,1
1,I39,1I39,2,in,0
1,I39,1I39,2,in,0
1,I39,1I39,2,in,0
1,I39,1I39,2,in,0
1,I39,1I39,2,in,0
1,I39,1I39,2,in,0
1,I39,1I39,2,in,0
1,I45,1I45,1,ex,1
1,I45,1I45,1,ex,0
1,I45,1I45,1,ex,0
1,I45,1I45,1,ex,0
1,I45,1I45,1,ex,0
1,I45,1I45,1,ex,0
1,I46,1I46,2,in,1
1,I46,1I46,2,in,1
1,I46,1I46,2,in,1
1,I46,1I46,2,in,1
1,I46,1I46,2,in,1
1,I46,1I46,2,in,1
1,I46,1I46,2,in,1
1,I46,1I46,2,in,1
1,I46,1I46,2,in,0
1,I49,1I49,1,ex,1
1,I49,1I49,1,ex,1
1,I49,1I49,1,ex,1
1,I49,1I49,1,ex,1
1,I49,1I49,1,ex,1
1,I49,1I49,1,ex,1
1,I49,1I49,1,ex,1
1,I50,1I50,1,ex,1
1,I50,1I50,1,ex,1
1,I50,1I50,1,ex,1
1,I50,1I50,1,ex,1
1,I50,1I50,1,ex,1
1,I50,1I50,1,ex,1
1,I50,1I50,1,ex,1
1,I50,1I50,1,ex,1
1,I50,1I50,1,ex,0
2,C3,2C3,0,un,1
2,C3,2C3,0,un,1
2,C3,2C3,0,un,1
2,C3,2C3,0,un,1
2,C3,2C3,0,un,1
2,C3,2C3,0,un,1
2,C3,2C3,0,un,1
