SNAil.ID,Infection.Status,fact,fact1,week,eggs,egg.masses,eggs.egg.masses
I-36,2,in,in,3,61,6,10.16666667
I-37,2,in,in,3,65,7,9.285714286
I-38,1,ex,ex,3,127,9,14.11111111
I-39,2,in,in,3,74,6,12.33333333
I-40,2,in,in,3,82,8,10.25
I-41,2,in,in,3,78,9,8.666666667
I-42,2,in,in,3,0,0,0
I-43,1,ex,ex,3,NA,NA,NA
I-44,1,ex,ex,3,65,6,10.83333333
I-45,1,ex,ex,3,93,9,10.33333333
I-46,2,in,in,3,77,6,12.83333333
I-47,2,in,in,3,18,2,9
I-48,1,ex,ex,3,NA,NA,NA
I-49,1,ex,ex,3,52,5,10.4
I-50,1,ex,ex,3,132,9,14.66666667
C-1 ,0,un,a,4,0,0,0
C-2,0,un,a,4,0,0,0
C-3,0,un,a,4,1,1,1
C-4,0,un,a,4,41,3,13.66666667
C-5,0,un,a,4,35,6,5.833333333
C-6,0,un,a,4,9,5,1.8
C-7,0,un,a,4,NA,NA,NA
C-8,0,un,a,4,63,4,15.75
C-9,0,un,a,4,6,3,2
C-10,0,un,a,4,54,4,13.5
C-11,0,un,a,4,11,1,11
C-12,0,un,a,4,20,2,10
C-13,0,un,a,4,0,0,0
C-14,0,un,a,4,NA,NA,NA
C-15,0,un,a,4,236,8,29.5
C-16,0,un,a,4,95,7,13.57142857
C-17,0,un,a,4,67,8,8.375
C-18,0,un,a,4,119,8,14.875
C-19,0,un,a,4,10,2,5
C-20,0,un,a,4,36,3,12
C-21,0,un,a,4,93,5,18.6
C-22,0,un,a,4,42,5,8.4
C-23,0,un,a,4,28,2,14
C-24,0,un,a,4,NA,NA,NA
C-25,0,un,a,4,37,7,5.285714286
C-26,0,un,a,4,9,1,9
C-27,0,un,a,4,NA,NA,NA
C-28,0,un,a,4,74,4,18.5
C-29,0,un,a,4,2,1,2
C-30,0,un,a,4,18,2,9
C-31,0,un,a,4,17,9,1.888888889
C-32,0,un,a,4,NA,NA,NA
C-33,0,un,a,4,137,7,19.57142857
C-34,0,un,a,4,88,8,11
C-35,0,un,a,4,80,13,6.153846154
C-36,0,un,a,4,52,5,10.4
C-37,0,un,a,4,27,5,5.4
C-38,0,un,a,4,76,4,19
C-39,0,un,a,4,7,2,3.5
C-40,0,un,a,4,35,4,8.75
I-1,2,in,in,4,0,0,0
I-2,2,in,in,4,0,0,0
I-3,2,in,in,4,7,1,7
I-4,2,in,in,4,34,7,4.857142857
I-5,2,in,in,4,8,1,8
I-6,2,in,in,4,25,5,5
I-7,2,in,in,4,0,0,0
I-8,2,in,in,4,5,2,2.5
I-9,2,in,in,4,0,0,0
I-10,1,ex,ex,4,33,6,5.5
I-11,2,in,in,4,10,5,2
I-12,2,in,in,4,0,0,0
I-13,1,ex,ex,4,124,10,12.4
I-14,2,in,in,4,107,11,9.727272727
I-15,2,in,in,4,16,2,8
I-16,1,ex,ex,4,194,8,24.25
I-17,2,in,in,4,0,0,0
I-18,2,in,in,4,51,6,8.5
I-19,2,in,in,4,0,0,0
I-20,2,in,in,4,111,7,15.85714286
I-21,2,in,in,4,0,0,0
I-22,2,in,in,4,2,1,2
I-23,1,ex,ex,4,NA,NA,NA
I-24,2,in,in,4,0,0,0
I-25,2,in,in,4,0,0,0
I-26,1,ex,ex,4,11,1,11
I-27,2,in,in,4,10,1,10
I-28,2,in,in,4,17,2,8.5
I-29,1,ex,ex,4,40,4,10
I-30,2,in,in,4,6,1,6
I-31,2,in,in,4,18,2,9
I-32,2,in,in,4,8,1,8
I-33,2,in,in,4,0,0,0
I-34,2,in,in,4,0,0,0
I-35,2,in,in,4,26,2,13
I-36,2,in,in,4,30,6,5
I-37,2,in,in,4,56,7,8
I-38,1,ex,ex,4,137,9,15.22222222
I-39,2,in,in,4,0,0,0
I-40,2,in,in,4,16,3,5.333333333
I-41,2,in,in,4,41,5,8.2
I-42,2,in,in,4,0,0,0
I-43,1,ex,ex,4,NA,NA,NA
I-44,1,ex,ex,4,57,5,11.4
I-45,1,ex,ex,4,91,11,8.272727273
I-46,2,in,in,4,5,1,5
I-47,2,in,in,4,0,0,0
I-48,1,ex,ex,4,NA,NA,NA
I-49,1,ex,ex,4,37,4,9.25
I-50,1,ex,ex,4,94,7,13.42857143
C-1 ,0,un,a,5,8,1,8
C-2,0,un,a,5,0,0,0
C-3,0,un,a,5,4,3,1.333333333
C-4,0,un,a,5,38,5,7.6
C-5,0,un,a,5,65,10,6.5
C-6,0,un,a,5,0,0,0
C-7,0,un,a,5,NA,NA,NA
C-8,0,un,a,5,48,3,16
C-9,0,un,a,5,48,5,9.6
C-10,0,un,a,5,118,7,16.85714286
C-11,0,un,a,5,14,1,14
C-12,0,un,a,5,55,3,18.33333333
C-13,0,un,a,5,0,0,0
C-14,0,un,a,5,NA,NA,NA
C-15,0,un,a,5,181,6,30.16666667
C-16,0,un,a,5,120,6,20
C-17,0,un,a,5,30,7,4.285714286
C-18,0,un,a,5,69,7,9.857142857
C-19,0,un,a,5,81,6,13.5
C-20,0,un,a,5,29,4,7.25
C-21,0,un,a,5,228,7,32.57142857
C-22,0,un,a,5,16,4,4
C-23,0,un,a,5,95,7,13.57142857
C-24,0,un,a,5,NA,NA,NA
C-25,0,un,a,5,51,6,8.5
C-26,0,un,a,5,60,5,12
C-27,0,un,a,5,NA,NA,NA
C-28,0,un,a,5,92,6,15.33333333
C-29,0,un,a,5,0,0,0
C-30,0,un,a,5,60,4,15
C-31,0,un,a,5,122,9,13.55555556
C-32,0,un,a,5,NA,NA,NA
C-33,0,un,a,5,190,12,15.83333333
C-34,0,un,a,5,72,5,14.4
C-35,0,un,a,5,39,13,3
C-36,0,un,a,5,77,6,12.83333333
C-37,0,un,a,5,130,9,14.44444444
C-38,0,un,a,5,138,7,19.71428571
C-39,0,un,a,5,7,3,2.333333333
C-40,0,un,a,5,59,6,9.833333333
I-1,2,in,in,5,0,0,0
I-2,2,in,in,5,0,0,0
I-3,2,in,in,5,0,0,0
I-4,2,in,in,5,0,0,0
I-5,2,in,in,5,31,4,7.75
I-6,2,in,in,5,9,2,4.5
I-7,2,in,in,5,0,0,0
I-8,2,in,in,5,0,0,0
I-9,2,in,in,5,0,0,0
I-10,1,ex,ex,5,81,10,8.1
I-11,2,in,in,5,4,4,1
I-12,2,in,in,5,0,0,0
I-13,1,ex,ex,5,118,9,13.11111111
I-14,2,in,in,5,17,4,4.25
I-15,2,in,in,5,0,0,0
I-16,1,ex,ex,5,164,6,27.33333333
I-17,2,in,in,5,0,0,0
I-18,2,in,in,5,0,0,0
I-19,2,in,in,5,0,0,0
I-20,2,in,in,5,78,10,7.8
I-21,2,in,in,5,0,0,0
I-22,2,in,in,5,0,0,0
I-23,1,ex,ex,5,NA,NA,NA
I-24,2,in,in,5,0,0,0
I-25,2,in,in,5,0,0,0
I-26,1,ex,ex,5,0,0,0
I-27,2,in,in,5,0,0,0
I-28,2,in,in,5,20,4,5
I-29,1,ex,ex,5,44,4,11
I-30,2,in,in,5,0,0,0
I-31,2,in,in,5,0,0,0
I-32,2,in,in,5,0,0,0
I-33,2,in,in,5,0,0,0
I-34,2,in,in,5,0,0,0
I-35,2,in,in,5,0,0,0
I-36,2,in,in,5,8,3,2.666666667
I-37,2,in,in,5,0,0,0
I-38,1,ex,ex,5,123,7,17.57142857
I-39,2,in,in,5,0,0,0
I-40,2,in,in,5,5,1,5
I-41,2,in,in,5,9,1,9
I-42,2,in,in,5,0,0,0
I-43,1,ex,ex,5,NA,NA,NA
I-44,1,ex,ex,5,73,5,14.6
I-45,1,ex,ex,5,67,9,7.444444444
I-46,2,in,in,5,0,0,0
I-47,2,in,in,5,0,0,0
I-48,1,ex,ex,5,NA,NA,NA
I-49,1,ex,ex,5,30,4,7.5
I-50,1,ex,ex,5,104,9,11.55555556
